Source,Target,weight
0,1,1
0,41,0
0,121,0
0,151,0
10,11,1
10,211,0
20,21,1
20,71,0
20,111,0
20,141,0
20,231,0
20,281,0
30,31,1
30,191,0
30,201,0
40,1,0
40,41,1
50,51,1
50,61,0
50,271,0
50,291,0
60,51,0
60,61,1
60,271,0
60,291,0
70,21,0
70,71,1
70,111,0
70,141,0
70,231,0
70,281,0
80,81,1
80,101,0
80,221,0
90,91,1
90,161,0
100,81,0
100,101,1
100,221,0
110,21,0
110,71,0
110,111,1
110,141,0
110,281,0
120,1,0
120,121,1
120,151,0
120,261,0
130,131,1
140,21,0
140,71,0
140,111,0
140,141,1
140,231,0
150,1,0
150,121,0
150,151,1
150,261,0
160,91,0
160,161,1
170,171,1
180,181,1
190,31,0
190,191,1
190,201,0
200,31,0
200,191,0
200,201,1
210,211,1
220,81,0
220,101,0
220,221,1
230,21,0
230,71,0
230,141,0
230,231,1
240,241,1
250,251,1
260,121,0
260,151,0
260,261,1
270,51,0
270,61,0
270,261,0
270,271,1
270,291,0
280,21,0
280,71,0
280,111,0
280,141,0
280,281,1
290,51,0
290,61,0
290,271,0
290,291,1
1,2,1
11,12,1
21,22,1
21,232,0
31,32,1
31,192,0
41,42,1
51,52,1
51,62,0
61,52,0
61,62,1
71,72,1
71,142,0
81,82,1
81,102,0
81,222,0
91,92,1
101,82,0
101,102,1
101,222,0
111,112,1
121,122,1
121,152,0
121,262,0
131,132,1
141,72,0
141,142,1
151,122,0
151,152,1
151,262,0
161,162,1
171,172,1
181,182,1
191,32,0
191,192,1
201,202,1
211,212,1
221,82,0
221,102,0
221,222,1
231,22,0
231,232,1
241,242,1
251,252,1
261,122,0
261,152,0
261,262,1
271,272,1
281,282,1
291,292,1
2,3,1
12,13,1
22,23,1
32,33,1
32,193,0
42,43,1
52,53,1
52,63,0
62,53,0
62,63,1
72,73,1
72,143,0
82,83,1
82,103,0
92,93,1
102,83,0
102,103,1
102,223,0
112,113,1
122,123,1
122,153,0
132,133,1
142,73,0
142,143,1
152,123,0
152,153,1
162,163,1
172,173,1
182,183,1
192,33,0
192,193,1
202,203,1
212,213,1
222,103,0
222,223,1
232,233,1
242,243,1
252,253,1
262,263,1
272,273,1
282,283,1
292,293,1
3,4,1
13,14,1
23,24,1
33,34,1
33,194,0
43,44,1
53,54,1
53,64,0
63,54,0
63,64,1
73,74,1
73,144,0
83,84,1
83,104,0
93,94,1
103,84,0
103,104,1
103,224,0
113,114,1
123,124,1
123,154,0
133,134,1
143,74,0
143,144,1
153,124,0
153,154,1
163,164,1
173,174,1
183,184,1
193,34,0
193,194,1
203,204,1
213,214,1
223,104,0
223,224,1
233,234,1
243,244,1
253,254,1
263,264,1
273,274,1
283,284,1
293,294,1
4,5,1
14,15,1
24,25,1
34,35,1
34,195,0
44,45,1
54,55,1
54,65,0
64,55,0
64,65,1
74,75,1
74,145,0
84,85,1
84,105,0
94,95,1
104,85,0
104,105,1
114,115,1
124,125,1
124,155,0
134,135,1
144,75,0
144,145,1
154,125,0
154,155,1
164,165,1
174,175,1
184,185,1
194,35,0
194,195,1
204,205,1
214,215,1
224,225,1
234,235,1
244,245,1
254,255,1
264,265,1
274,275,1
284,285,1
294,295,1
5,6,1
15,16,1
25,26,1
35,36,1
35,196,0
45,46,1
55,56,1
65,56,0
65,66,1
75,76,1
75,146,0
85,86,1
85,106,0
95,96,1
105,86,0
105,106,1
115,116,1
125,126,1
125,156,0
135,136,1
145,76,0
145,146,1
155,126,0
155,156,1
165,166,1
175,176,1
185,186,1
195,36,0
195,196,1
205,206,1
215,216,1
225,226,1
235,236,1
245,246,1
255,256,1
265,266,1
275,276,1
285,286,1
295,296,1
6,7,1
16,17,1
26,27,1
36,37,1
36,197,0
46,47,1
56,57,1
66,67,1
76,77,1
76,147,0
86,87,1
86,107,0
96,97,1
106,87,0
106,107,1
116,117,1
126,127,1
126,157,0
136,137,1
146,77,0
146,147,1
156,127,0
156,157,1
166,167,1
176,177,1
186,187,1
196,37,0
196,197,1
206,207,1
216,217,1
226,227,1
236,237,1
246,247,1
256,257,1
266,267,1
276,277,1
286,287,1
296,297,1
7,8,1
17,18,1
27,28,1
37,38,1
37,198,0
47,48,1
57,58,1
67,68,1
77,78,1
77,148,0
87,88,1
87,108,0
97,98,1
107,88,0
107,108,1
117,118,1
127,128,1
127,158,0
137,138,1
147,78,0
147,148,1
157,128,0
157,158,1
167,168,1
177,178,1
187,188,1
197,38,0
197,198,1
207,208,1
217,218,1
227,228,1
237,238,1
247,248,1
257,258,1
267,268,1
277,278,1
287,288,1
297,298,1
8,9,1
18,19,1
28,29,1
38,39,1
38,199,0
48,49,1
58,59,1
68,69,1
78,79,1
78,149,0
88,89,1
88,109,0
98,99,1
108,89,0
108,109,1
118,119,1
128,129,1
128,159,0
138,139,1
148,79,0
148,149,1
158,129,0
158,159,1
168,169,1
178,179,1
188,189,1
198,39,0
198,199,1
208,209,1
218,219,1
228,229,1
238,239,1
248,249,1
258,259,1
268,269,1
278,279,1
288,289,1
298,299,1
