Source,Target,weight
0,1,1
10,11,1
20,21,1
30,31,1
40,41,1
40,151,0
50,51,1
60,61,1
70,71,1
70,101,0
80,81,1
80,191,0
90,91,1
100,71,0
100,101,1
110,111,1
110,181,0
120,121,1
130,131,1
140,141,1
150,41,0
150,151,1
160,161,1
170,171,1
180,111,0
180,181,1
190,81,0
190,191,1
1,2,1
11,12,1
21,22,1
31,32,1
41,42,1
41,152,0
51,52,1
61,62,1
71,72,1
71,102,0
81,82,1
81,192,0
91,92,1
101,72,0
101,102,1
111,112,1
121,122,1
131,132,1
141,142,1
151,42,0
151,152,1
161,162,1
171,172,1
181,182,1
191,82,0
191,192,1
2,3,1
12,13,1
22,23,1
32,33,1
42,43,1
42,153,0
52,53,1
62,63,1
72,73,1
72,103,0
82,83,1
82,193,0
92,93,1
102,73,0
102,103,1
112,113,1
122,123,1
132,133,1
142,143,1
152,43,0
152,153,1
162,163,1
172,173,1
182,183,1
192,83,0
192,193,1
3,4,1
13,14,1
23,24,1
33,34,1
43,44,1
43,154,0
53,54,1
63,64,1
73,74,1
73,104,0
83,84,1
83,194,0
93,94,1
103,74,0
103,104,1
113,114,1
123,124,1
133,134,1
143,144,1
153,44,0
153,154,1
163,164,1
173,174,1
183,184,1
193,84,0
193,194,1
4,5,1
14,15,1
24,25,1
34,35,1
44,45,1
44,155,0
54,55,1
64,65,1
74,75,1
84,85,1
84,195,0
94,95,1
104,105,1
114,115,1
124,125,1
134,135,1
144,145,1
154,45,0
154,155,1
164,165,1
174,175,1
184,185,1
194,85,0
194,195,1
5,6,1
15,16,1
25,26,1
35,36,1
45,46,1
45,156,0
55,56,1
65,66,1
75,76,1
85,86,1
95,96,1
105,106,1
115,116,1
125,126,1
135,136,1
145,146,1
155,46,0
155,156,1
165,166,1
175,176,1
185,186,1
195,196,1
6,7,1
16,17,1
26,27,1
36,37,1
46,47,1
46,157,0
56,57,1
66,67,1
76,77,1
86,87,1
96,97,1
106,107,1
116,117,1
126,127,1
136,137,1
146,147,1
156,47,0
156,157,1
166,167,1
176,177,1
186,187,1
196,197,1
7,8,1
17,18,1
27,28,1
37,38,1
47,48,1
47,158,0
57,58,1
67,68,1
77,78,1
87,88,1
97,98,1
107,108,1
117,118,1
127,128,1
137,138,1
147,148,1
157,48,0
157,158,1
167,168,1
177,178,1
187,188,1
197,198,1
8,9,1
18,19,1
28,29,1
38,39,1
48,49,1
48,159,0
58,59,1
68,69,1
78,79,1
88,89,1
98,99,1
108,109,1
118,119,1
128,129,1
138,139,1
148,149,1
158,159,1
168,169,1
178,179,1
188,189,1
198,199,1
